epoch,train_loss,val_loss,val_oa,val_miou,val_dice,val_precision,val_recall
10,2.8666,2.8761,0.0029,0.0014,0.0028,0.0314,0.0638
20,2.7889,2.8621,0.0098,0.0094,0.0179,0.0973,0.0737
30,2.6875,2.8155,0.0393,0.0225,0.0411,0.0880,0.0646
40,2.6229,2.7412,0.1110,0.0583,0.0913,0.1855,0.1225
50,2.6187,2.6660,0.2387,0.0883,0.1323,0.2244,0.1407
60,2.3898,2.5857,0.3084,0.0944,0.1396,0.1904,0.1651
70,2.3074,2.4647,0.3605,0.0995,0.1448,0.2459,0.1993
80,2.2019,2.4009,0.3910,0.1129,0.1646,0.2813,0.1778
90,2.1045,2.3743,0.3635,0.0911,0.1403,0.2270,0.1446
100,1.8952,2.1226,0.4578,0.1380,0.1995,0.3360,0.2351
110,1.8363,1.8408,0.5481,0.1967,0.2716,0.3465,0.3485
120,1.6912,1.8216,0.5452,0.1825,0.2608,0.3134,0.3069
130,1.6082,1.7120,0.6572,0.3027,0.3905,0.4391,0.4267
140,1.5139,1.7702,0.6100,0.2283,0.3092,0.3486,0.3529
150,1.4322,1.7756,0.6434,0.2735,0.3626,0.4215,0.3687
160,1.4285,1.6499,0.7485,0.3479,0.4271,0.4566,0.4420
170,1.3015,1.5518,0.7358,0.3466,0.4291,0.4680,0.4439
180,1.2613,1.4782,0.7770,0.3695,0.4417,0.4704,0.4644
190,1.1465,1.5793,0.7750,0.3817,0.4712,0.5361,0.4737
200,1.1001,1.4646,0.7770,0.3842,0.4667,0.5420,0.4662
210,1.0736,1.5410,0.8409,0.4537,0.5239,0.5509,0.5292
220,1.0744,1.3167,0.8576,0.4605,0.5235,0.5359,0.5344
230,1.0311,1.3509,0.8703,0.4942,0.5600,0.5806,0.5645
240,1.0088,1.4118,0.8468,0.4610,0.5302,0.5630,0.5319
250,0.9783,1.4294,0.8251,0.4635,0.5458,0.6124,0.5345
260,0.8737,1.2029,0.8811,0.4986,0.5604,0.5975,0.5606
270,0.8552,1.1908,0.9028,0.5402,0.5956,0.6229,0.5958
280,0.9169,1.3043,0.8919,0.5224,0.5785,0.6132,0.5841
290,0.9742,1.1664,0.8949,0.5288,0.5839,0.6069,0.5895
300,0.9465,1.1461,0.8998,0.5314,0.5883,0.6085,0.5918
