epoch,train_loss,val_loss,val_oa,val_miou,val_dice,val_precision,val_recall
10,2.7997,2.8054,0.1424,0.0195,0.0332,0.0245,0.0775
20,2.7609,2.7942,0.2436,0.0212,0.0350,0.0231,0.0751
30,2.7059,2.7785,0.2515,0.0268,0.0448,0.0386,0.0807
40,2.6869,2.7655,0.2583,0.0338,0.0565,0.0575,0.0958
50,2.6464,2.7385,0.2662,0.0393,0.0661,0.0895,0.1055
60,2.5051,2.6841,0.2908,0.0478,0.0790,0.1120,0.1178
70,2.3337,2.6179,0.3084,0.0695,0.1068,0.1388,0.1525
80,2.1871,2.4661,0.3242,0.0793,0.1152,0.1452,0.1561
90,2.0942,2.3137,0.3684,0.0885,0.1257,0.1472,0.1674
100,1.9365,2.2333,0.3772,0.0943,0.1312,0.1595,0.1650
110,1.8785,2.1611,0.3880,0.0945,0.1336,0.1641,0.1680
120,1.7428,1.9643,0.4165,0.1013,0.1429,0.1594,0.1871
130,1.6915,1.9970,0.4204,0.1143,0.1596,0.1917,0.1904
140,1.6233,2.0151,0.4646,0.1369,0.1960,0.2494,0.2239
150,1.5656,1.9884,0.5108,0.1591,0.2199,0.2586,0.2749
160,1.5195,1.8613,0.5324,0.1740,0.2420,0.2667,0.2876
170,1.5103,1.8463,0.5629,0.1997,0.2737,0.2841,0.3218
180,1.4942,1.7620,0.6277,0.2496,0.3205,0.3099,0.3749
190,1.3916,1.7061,0.5943,0.2300,0.3055,0.3590,0.3584
200,1.3579,1.7312,0.6130,0.2409,0.3121,0.3651,0.3583
210,1.3725,1.6168,0.7063,0.3189,0.3902,0.4613,0.4438
220,1.2280,1.4830,0.7377,0.3314,0.4088,0.4390,0.4470
230,1.1764,1.3897,0.7692,0.3617,0.4348,0.4438,0.4724
240,1.2037,1.3812,0.8153,0.3998,0.4609,0.4460,0.4913
250,1.1438,1.3471,0.8232,0.4085,0.4673,0.4496,0.5006
260,1.0363,1.2714,0.8261,0.4205,0.4729,0.4619,0.4986
270,0.9798,1.2792,0.8330,0.4229,0.4770,0.4629,0.5067
280,0.9946,1.3478,0.8104,0.4053,0.4640,0.4776,0.4902
290,0.9907,1.1871,0.8389,0.4322,0.4828,0.4743,0.5121
300,1.0465,1.1907,0.8468,0.4385,0.4855,0.4774,0.5114
