epoch,train_loss,val_loss,val_oa,val_miou,val_dice
10,1.5133,1.6415,0.6729,0.2965,0.3851
20,0.8073,0.9775,0.8153,0.4356,0.5096
30,0.4515,0.9911,0.8635,0.5227,0.5999
40,0.2500,0.9468,0.8684,0.5628,0.6501
50,0.1760,1.1716,0.8084,0.5196,0.6280
60,0.1126,1.1288,0.8202,0.5208,0.6219
70,0.0938,1.1681,0.7819,0.4970,0.6069
80,0.0561,1.0730,0.7967,0.4825,0.5912
90,0.0393,1.1251,0.7741,0.4580,0.5696
100,0.0354,1.2008,0.7495,0.4253,0.5279
110,0.0252,1.1263,0.7525,0.4258,0.5321
120,0.0176,1.1499,0.7466,0.4130,0.5229
130,0.0203,1.3189,0.7102,0.4004,0.5093
140,0.0111,1.3212,0.6925,0.3945,0.4990
150,0.0104,1.2286,0.7083,0.3899,0.4979
160,0.0173,1.1122,0.7348,0.4016,0.5087
170,0.0084,1.1111,0.7269,0.3964,0.5081
180,0.0089,1.1716,0.7161,0.3815,0.4910
190,0.0061,1.2077,0.7053,0.3765,0.4853
200,0.0056,1.1801,0.7043,0.3689,0.4763
210,0.0063,1.2025,0.6965,0.3721,0.4781
220,0.0037,1.2010,0.7112,0.3870,0.4951
230,0.0075,1.1474,0.7161,0.3795,0.4844
240,0.0041,1.2378,0.6876,0.3638,0.4693
250,0.0035,1.1885,0.6984,0.3635,0.4707
260,0.0027,1.2128,0.6906,0.3603,0.4672
270,0.0033,1.2632,0.6886,0.3552,0.4575
280,0.0043,1.2354,0.6857,0.3561,0.4625
290,0.0030,1.2272,0.6807,0.3534,0.4581
300,0.0025,1.2027,0.6896,0.3598,0.4638
