epoch,train_loss,val_loss,val_oa,val_miou,val_dice,val_precision,val_recall
1,2.8666,2.7569,0.1159,0.0134,0.0242,0.0151,0.0676
2,2.7752,2.7271,0.0806,0.0078,0.0147,0.0106,0.0577
3,2.7314,2.7010,0.1503,0.0153,0.0271,0.0172,0.0745
4,2.7244,2.6885,0.0835,0.0094,0.0174,0.0121,0.0562
5,2.7160,2.6663,0.0776,0.0053,0.0099,0.0101,0.0592
6,2.6746,2.6349,0.0806,0.0054,0.0101,0.0090,0.0614
7,2.6588,2.6183,0.0806,0.0058,0.0108,0.0110,0.0611
8,2.6428,2.6007,0.0776,0.0062,0.0115,0.0089,0.0582
9,2.6462,2.6032,0.0796,0.0074,0.0140,0.0155,0.0597
10,2.6144,2.6006,0.0796,0.0080,0.0150,0.0723,0.0606
11,2.6223,2.6137,0.0933,0.0156,0.0293,0.0333,0.0622
12,2.5855,2.5880,0.0953,0.0138,0.0257,0.0383,0.0632
13,2.5886,2.5914,0.0914,0.0152,0.0284,0.0306,0.0580
14,2.5816,2.6002,0.0933,0.0152,0.0286,0.0406,0.0629
15,2.5520,2.5814,0.1022,0.0157,0.0293,0.0351,0.0632
16,2.5508,2.5716,0.1061,0.0188,0.0350,0.0555,0.0631
17,2.5311,2.5830,0.0972,0.0173,0.0325,0.0964,0.0610
18,2.5124,2.5878,0.1002,0.0170,0.0319,0.0389,0.0658
19,2.5037,2.5671,0.1081,0.0205,0.0384,0.0602,0.0657
20,2.4859,2.5337,0.1061,0.0169,0.0315,0.1007,0.0596
21,2.4691,2.5532,0.1110,0.0255,0.0480,0.0951,0.0708
22,2.4549,2.5412,0.1149,0.0258,0.0480,0.0872,0.0733
23,2.4495,2.5288,0.1051,0.0211,0.0397,0.0821,0.0652
24,2.4112,2.5341,0.1081,0.0251,0.0466,0.0578,0.0764
25,2.4307,2.5394,0.0982,0.0228,0.0429,0.0833,0.0692
26,2.4114,2.5289,0.1208,0.0291,0.0542,0.0754,0.0803
27,2.3655,2.5274,0.1169,0.0279,0.0522,0.0808,0.0788
28,2.3319,2.5243,0.1228,0.0298,0.0554,0.0673,0.0837
29,2.3442,2.5068,0.1228,0.0310,0.0577,0.0815,0.0847
30,2.2757,2.5441,0.1297,0.0350,0.0648,0.1045,0.0940
31,2.2995,2.5122,0.1326,0.0343,0.0631,0.0874,0.0939
32,2.2591,2.5135,0.1346,0.0423,0.0762,0.1178,0.1067
33,2.2531,2.5265,0.1316,0.0325,0.0603,0.0993,0.0871
34,2.1841,2.5229,0.1562,0.0377,0.0687,0.1188,0.0959
35,2.1748,2.5376,0.1149,0.0282,0.0528,0.0896,0.0877
36,2.1649,2.4518,0.1523,0.0465,0.0831,0.1036,0.1146
37,2.0910,2.4360,0.1473,0.0434,0.0788,0.1063,0.1073
38,2.0840,2.4976,0.1336,0.0410,0.0737,0.1364,0.1115
39,2.0714,2.5075,0.1277,0.0348,0.0643,0.1428,0.0965
40,2.0276,2.4134,0.1503,0.0479,0.0854,0.1212,0.1131
41,2.0431,2.4725,0.1277,0.0468,0.0847,0.1969,0.1078
42,2.0068,2.4003,0.1621,0.0500,0.0890,0.1146,0.1303
43,1.9647,2.5537,0.1248,0.0345,0.0633,0.1343,0.0938
44,1.9718,2.5230,0.1356,0.0461,0.0824,0.1807,0.1104
45,1.8901,2.5689,0.1248,0.0414,0.0762,0.1123,0.1211
46,1.8820,2.5530,0.1316,0.0393,0.0722,0.1224,0.1101
47,1.8610,2.4533,0.1473,0.0475,0.0854,0.1139,0.1217
48,1.8236,2.4982,0.1483,0.0457,0.0826,0.1189,0.1210
49,1.7845,2.5154,0.1346,0.0404,0.0738,0.1096,0.1151
50,1.7723,2.4602,0.1385,0.0439,0.0772,0.0994,0.1288
51,1.7448,2.5261,0.1483,0.0440,0.0791,0.1160,0.1117
52,1.7474,2.3919,0.1464,0.0503,0.0897,0.1058,0.1517
53,1.6882,2.3774,0.1611,0.0521,0.0931,0.1175,0.1397
54,1.6661,2.4386,0.1473,0.0489,0.0877,0.1193,0.1391
55,1.6517,2.5320,0.1385,0.0391,0.0711,0.1145,0.1206
56,1.5906,2.4440,0.1670,0.0614,0.1085,0.1421,0.1533
57,1.5591,2.2627,0.1896,0.0659,0.1139,0.1502,0.1732
58,1.5814,2.2996,0.1699,0.0584,0.1039,0.1343,0.1739
59,1.5138,2.4800,0.1611,0.0636,0.1109,0.1356,0.1611
60,1.5290,2.1939,0.2092,0.0747,0.1271,0.1696,0.1890
61,1.4993,2.2677,0.1798,0.0658,0.1153,0.1451,0.1723
62,1.4282,2.1862,0.2230,0.0864,0.1477,0.1787,0.1987
63,1.4483,2.1686,0.2141,0.0834,0.1418,0.1794,0.1999
64,1.4154,2.1640,0.2259,0.0866,0.1456,0.1749,0.1892
65,1.4407,2.1028,0.3055,0.1028,0.1661,0.2140,0.1879
66,1.4128,2.1733,0.2161,0.0789,0.1380,0.1634,0.2160
67,1.3512,2.0538,0.2348,0.1037,0.1677,0.1798,0.2123
68,1.3015,2.1270,0.2250,0.0867,0.1458,0.1880,0.2163
69,1.3097,2.3336,0.2220,0.0812,0.1368,0.1492,0.1814
70,1.3087,2.1713,0.2269,0.0881,0.1510,0.1573,0.2301
71,1.2078,2.3042,0.2122,0.0791,0.1288,0.1356,0.1747
72,1.2444,2.0125,0.3094,0.1162,0.1818,0.1981,0.2062
73,1.2534,2.3240,0.2033,0.0730,0.1266,0.1429,0.1940
74,1.2461,2.1902,0.2151,0.0878,0.1448,0.1677,0.2041
75,1.2245,2.2825,0.2161,0.0868,0.1459,0.1751,0.2200
76,1.1444,2.1289,0.2220,0.1027,0.1617,0.2045,0.1852
77,1.1194,1.9146,0.3065,0.1158,0.1794,0.1828,0.2224
78,1.1204,2.1061,0.2407,0.1037,0.1726,0.1781,0.2406
79,1.1328,2.0320,0.2780,0.1147,0.1795,0.1891,0.2122
80,1.1145,2.3078,0.2073,0.0827,0.1358,0.2162,0.2071
81,1.1076,1.8363,0.3389,0.1308,0.1953,0.2532,0.2244
82,1.0935,1.8247,0.3291,0.1424,0.2257,0.2660,0.2741
83,1.0644,1.8990,0.3448,0.1544,0.2370,0.3060,0.2696
84,1.0526,2.0808,0.2682,0.1209,0.1964,0.2005,0.2393
85,1.0203,1.9849,0.2701,0.1118,0.1739,0.2337,0.2190
86,0.9548,2.2050,0.2367,0.0909,0.1500,0.1472,0.2205
87,0.9640,1.9687,0.3153,0.1404,0.2262,0.2756,0.2746
88,0.9772,2.2083,0.2279,0.0996,0.1526,0.1562,0.2000
89,0.9782,2.0823,0.2377,0.1008,0.1595,0.1774,0.2232
90,0.9643,1.8183,0.3438,0.1436,0.2264,0.2445,0.2804
91,0.9361,1.9267,0.3635,0.1350,0.2095,0.2442,0.2555
92,0.9157,1.7131,0.4008,0.1564,0.2357,0.2830,0.2803
93,0.9011,1.7774,0.3762,0.1623,0.2424,0.2655,0.2823
94,0.8869,1.9867,0.2800,0.1380,0.2120,0.2130,0.2475
95,0.9031,1.9265,0.2986,0.1478,0.2265,0.2460,0.2617
96,0.8476,1.8816,0.3340,0.1736,0.2671,0.3384,0.2976
97,0.8774,1.7623,0.3752,0.1641,0.2575,0.2931,0.3076
98,0.8666,2.1345,0.2780,0.1215,0.1991,0.2521,0.2619
99,0.8762,2.0241,0.2721,0.1320,0.2066,0.2767,0.2451
100,0.8160,2.0972,0.2780,0.1365,0.2061,0.2530,0.2224
101,0.8375,1.7942,0.3477,0.1668,0.2465,0.3129,0.2749
102,0.8380,1.7293,0.4008,0.1722,0.2569,0.2933,0.2928
103,0.8001,2.0171,0.2780,0.1459,0.2264,0.2509,0.2633
104,0.7848,1.8506,0.3625,0.1675,0.2645,0.3132,0.3153
105,0.7755,2.3601,0.2358,0.1053,0.1698,0.2236,0.2473
106,0.7381,1.7718,0.3625,0.1613,0.2461,0.3150,0.2821
107,0.7813,2.0861,0.2859,0.1265,0.2020,0.2034,0.2648
108,0.8220,2.3130,0.2436,0.0976,0.1562,0.1709,0.2265
109,0.7600,1.7735,0.3723,0.1790,0.2744,0.3303,0.3220
110,0.8054,1.8475,0.3163,0.1621,0.2477,0.2851,0.3031
111,0.7645,1.8163,0.3507,0.1633,0.2505,0.3219,0.2769
112,0.7243,1.8631,0.3468,0.1681,0.2548,0.3477,0.2820
113,0.7242,1.7503,0.4194,0.1840,0.2690,0.3434,0.2977
114,0.6954,1.7685,0.3949,0.1836,0.2826,0.3439,0.3151
115,0.7134,1.6653,0.4430,0.1896,0.2798,0.3564,0.3143
116,0.6333,1.6707,0.4126,0.1934,0.2893,0.3567,0.3190
117,0.6616,1.8690,0.3438,0.1587,0.2493,0.3156,0.2851
118,0.6582,1.8290,0.3595,0.1711,0.2675,0.3417,0.3100
119,0.6540,1.6462,0.4519,0.2077,0.3092,0.3432,0.3439
120,0.6760,2.1527,0.2809,0.1243,0.1977,0.2143,0.2525
121,0.6812,1.7235,0.3880,0.1775,0.2735,0.3183,0.3082
122,0.6278,1.8295,0.3713,0.1706,0.2528,0.3280,0.2807
123,0.6525,1.9984,0.2937,0.1399,0.2143,0.3460,0.2619
124,0.6539,1.7022,0.4391,0.1888,0.2754,0.3669,0.2942
125,0.6185,1.6234,0.4666,0.2147,0.3208,0.3698,0.3364
126,0.5814,1.7253,0.4086,0.1929,0.2914,0.3547,0.3219
127,0.6011,1.5851,0.4656,0.1941,0.2893,0.3421,0.3274
128,0.5926,1.9041,0.3664,0.1801,0.2841,0.3245,0.3263
129,0.5732,1.7003,0.4548,0.2138,0.3234,0.3679,0.3424
130,0.5823,1.6380,0.4587,0.1995,0.2996,0.3826,0.3251
131,0.6099,1.7291,0.4028,0.2120,0.3187,0.3689,0.3326
132,0.6194,1.9163,0.3428,0.1486,0.2257,0.3069,0.2766
133,0.5352,1.8429,0.3969,0.1861,0.2923,0.3496,0.3336
134,0.5658,2.2182,0.3143,0.1498,0.2242,0.2746,0.2418
135,0.5567,1.7516,0.4214,0.1956,0.2991,0.3765,0.3336
136,0.5671,1.6597,0.4381,0.2084,0.3168,0.3803,0.3536
137,0.6134,1.8800,0.3625,0.1602,0.2502,0.3182,0.2931
138,0.5205,1.6699,0.4450,0.1947,0.2966,0.3450,0.3433
139,0.5368,1.5648,0.4686,0.2057,0.3064,0.3836,0.3408
140,0.5368,1.5104,0.4872,0.2068,0.3041,0.3683,0.3228
141,0.5031,1.6774,0.4489,0.2040,0.3061,0.3984,0.3281
142,0.4969,1.8144,0.3900,0.1875,0.2777,0.3541,0.3048
143,0.4920,1.6527,0.4509,0.2164,0.3286,0.3981,0.3536
144,0.5256,1.5172,0.4774,0.2378,0.3511,0.3837,0.3675
145,0.5190,1.8892,0.3733,0.1738,0.2754,0.3879,0.3283
146,0.4621,1.5165,0.5000,0.2369,0.3457,0.3952,0.3587
147,0.4566,1.6423,0.4725,0.2189,0.3223,0.4162,0.3227
148,0.4489,1.8951,0.3861,0.1952,0.3066,0.3723,0.3399
149,0.4437,1.6242,0.4656,0.2214,0.3330,0.3698,0.3619
150,0.4395,1.7652,0.4528,0.1997,0.2959,0.3939,0.3080
151,0.4456,1.6738,0.4676,0.2198,0.3203,0.3743,0.3313
152,0.4442,1.8776,0.3782,0.2005,0.2985,0.4168,0.3098
153,0.4477,1.6233,0.4705,0.2436,0.3621,0.3957,0.3796
